n,permutation,r_orb,a_coefficients,b_coefficients,alpha
6,012345,1,0-0-0-0-0-0-1,0-0-0-0-0-0-1,
7,0123456,0,0-0-0-0-0-0-7-0,0-0-0-0-0-0-7-1,7
7,0123465,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0123546,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0123564,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0123645,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0124356,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0124536,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0124563,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0125346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0126345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0132456,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0134256,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0134526,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0134562,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0142356,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0152346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0162345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0213456,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,0231456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0234156,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0234516,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0234561,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0312456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0412356,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0512346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,0612345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1023456,1,0-0-0-0-0-0-2-1,0-0-0-0-0-0-2-1,2
7,1203456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1230456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1234056,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1234506,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,1234560,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,2013456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,3012456,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,4012356,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,5012346,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
7,6012345,1,0-0-0-0-0-0-1-1,0-0-0-0-0-0-1-1,1
8,01234567,1,0-0-0-0-0-0-28-0-1,0-0-0-0-0-0-28-8-1,28-0
8,01234576,0,0-0-0-0-0-0-13-6-0,0-0-0-0-0-0-13-8-1,13-6
8,01234657,1,0-0-0-0-0-0-13-6-1,0-0-0-0-0-0-13-8-1,13-6
8,01234675,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01234756,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01234765,1,0-0-0-0-0-0-3-3-1,0-0-0-0-0-0-3-3-1,3-3
8,01235467,1,0-0-0-0-0-0-13-6-1,0-0-0-0-0-0-13-8-1,13-6
8,01235476,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01235647,1,0-0-0-0-0-0-8-7-1,0-0-0-0-0-0-8-8-1,8-7
8,01235674,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01235746,1,0-0-0-0-0-0-3-4-1,0-0-0-0-0-0-3-4-1,3-4
8,01235764,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01236457,1,0-0-0-0-0-0-8-7-1,0-0-0-0-0-0-8-8-1,8-7
8,01236475,1,0-0-0-0-0-0-3-4-1,0-0-0-0-0-0-3-4-1,3-4
8,01236547,1,0-0-0-0-0-0-3-3-1,0-0-0-0-0-0-3-3-1,3-3
8,01236574,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01236745,1,0-0-0-0-0-0-2-4-1,0-0-0-0-0-0-2-4-1,2-4
8,01236754,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01237456,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01237465,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01237546,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01237564,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01237645,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01243567,0,0-0-0-0-0-0-13-6-0,0-0-0-0-0-0-13-8-1,13-6
8,01243576,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01243657,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01243675,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01243756,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01245367,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01245376,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01245637,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01245673,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01245736,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01245763,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01246357,1,0-0-0-0-0-0-3-4-1,0-0-0-0-0-0-3-4-1,3-4
8,01246375,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01246537,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01246573,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01246735,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01246753,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01247356,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01247536,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01247563,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01253467,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01253476,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01253647,1,0-0-0-0-0-0-3-4-1,0-0-0-0-0-0-3-4-1,3-4
8,01253674,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01253746,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01254367,1,0-0-0-0-0-0-3-3-1,0-0-0-0-0-0-3-3-1,3-3
8,01254637,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01254673,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01256347,1,0-0-0-0-0-0-2-4-1,0-0-0-0-0-0-2-4-1,2-4
8,01256374,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01256437,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01256473,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01256734,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01256743,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01257346,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01263457,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01263475,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01263547,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01263574,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01263745,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01264357,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01264537,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01264573,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01265347,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01267345,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01273456,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01273465,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01273546,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01273564,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01273645,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01274356,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01274536,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01274563,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01275346,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01276345,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01324567,1,0-0-0-0-0-0-13-6-1,0-0-0-0-0-0-13-8-1,13-6
8,01324576,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01324657,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01324675,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01324756,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01325467,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,01325647,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01325674,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01326457,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01327456,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01342567,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01342576,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01342657,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01342675,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01342756,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01345267,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01345276,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01345627,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01345672,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01345726,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01345762,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01346257,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01346275,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01346527,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01346572,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01346725,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01346752,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01347256,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01347526,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01347562,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01352467,0,0-0-0-0-0-0-3-4-0,0-0-0-0-0-0-3-4-1,3-4
8,01352647,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01352674,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01354267,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01354627,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01354672,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01356247,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01356274,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01356427,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01356472,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01356724,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01356742,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01362457,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01364257,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01364527,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01364572,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01372456,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01374256,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01374526,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01374562,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01423567,0,0-0-0-0-0-0-8-7-0,0-0-0-0-0-0-8-8-1,8-7
8,01423576,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01423657,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01423675,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01423756,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01425367,0,0-0-0-0-0-0-3-4-0,0-0-0-0-0-0-3-4-1,3-4
8,01425637,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01425673,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01426357,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01427356,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01432567,1,0-0-0-0-0-0-3-3-1,0-0-0-0-0-0-3-3-1,3-3
8,01435267,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01435627,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01435672,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01452367,1,0-0-0-0-0-0-2-4-1,0-0-0-0-0-0-2-4-1,2-4
8,01452637,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01452673,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01453267,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01453627,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01453672,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01456237,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01456273,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01456327,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01456372,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01456723,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01456732,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01462357,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01472356,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01523467,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01523476,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01523647,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01523674,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01523746,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01524367,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01524637,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01524673,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01526347,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01527346,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01532467,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01534267,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01534627,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01534672,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01542367,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01562347,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01572346,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01623457,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01623475,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,01623547,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01623574,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01623745,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01624357,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01624537,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01624573,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01625347,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01627345,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01632457,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01634257,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01634527,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01634572,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01642357,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01652347,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01672345,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01723456,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,01723465,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01723546,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01723564,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01723645,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01724356,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01724536,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01724563,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01725346,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01726345,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01732456,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,01734256,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01734526,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01734562,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01742356,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01752346,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,01762345,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02134567,1,0-0-0-0-0-0-13-6-1,0-0-0-0-0-0-13-8-1,13-6
8,02134576,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,02134657,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,02134675,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02134756,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02135467,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,02135647,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02135674,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02136457,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02137456,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02143567,1,0-0-0-0-0-0-4-4-1,0-0-0-0-0-0-4-4-1,4-4
8,02145367,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02145637,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02145673,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02153467,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02163457,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02173456,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02314567,1,0-0-0-0-0-0-8-7-1,0-0-0-0-0-0-8-8-1,8-7
8,02314576,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02314657,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02314675,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02314756,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02315467,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02315647,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02315674,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02316457,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02317456,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02341567,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,02341576,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02341657,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02341675,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02341756,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02345167,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,02345176,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02345617,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,02345671,0,0-0-0-0-0-0-7-7-0,0-0-0-0-0-0-7-8-1,7-7
8,02345716,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,02345761,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02346157,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02346175,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02346517,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02346571,1,0-0-0-0-0-0-2-3-1,0-0-0-0-0-0-2-3-1,2-3
8,02346715,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02346751,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02347156,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02347516,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02347561,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02351467,0,0-0-0-0-0-0-2-3-0,0-0-0-0-0-0-2-3-1,2-3
8,02351647,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
8,02351674,1,0-0-0-0-0-0-1-2-1,0-0-0-0-0-0-1-2-1,1-2
