artifact_path	generator_path	command_or_template	provenance_anchor
data/reports/pr011_tv_certification_n4.csv	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 4	git:1fbbc6be4e7c4a147bd2ba16621d0b3e7e37d049
data/reports/pr011_tv_certification_n4.sha256	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 4	git:1fbbc6be4e7c4a147bd2ba16621d0b3e7e37d049
data/reports/pr011_tv_certification_n5.csv	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 5	git:9a5e3dfd32571fe108f624d3df397dbecc97b53c
data/reports/pr011_tv_certification_n5.sha256	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 5	git:9a5e3dfd32571fe108f624d3df397dbecc97b53c
data/reports/pr011_tv_certification_n6.csv	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 6	git:d8ce4821563de693ca6cd15772908c23ee300818
data/reports/pr011_tv_certification_n6.sha256	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 6	git:d8ce4821563de693ca6cd15772908c23ee300818
data/reports/pr011_tv_certification_n7.csv	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 7	git:d8ce4821563de693ca6cd15772908c23ee300818
data/reports/pr011_tv_certification_n7.sha256	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 7	git:d8ce4821563de693ca6cd15772908c23ee300818
data/reports/pr011_tv_certification_n8.csv	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 8	git:d8ce4821563de693ca6cd15772908c23ee300818
data/reports/pr011_tv_certification_n8.sha256	dev/pr011_tv_certification_enumeration.py	python3 dev/pr011_tv_certification_enumeration.py certify --n 8	git:d8ce4821563de693ca6cd15772908c23ee300818
data/reports/present_anchor_clean_v3_kill_test.csv	dev/present_anchor_sanity_pilot.py	dev/present_anchor_sanity_pilot.py --allow-expanded-kill-test --seeds 2000000,2000001,2000002,2000003,2000004,2000005,2000006,2000007,2000008,2000009,2000010,2000011 --intensity 1200 --max-anchors-per-rule 10 --output data/reports/present_anchor_clean_v3_kill_test.csv --summary-output data/reports/PRESENT_ANCHOR_CLEAN_V3_KILL_TEST_SUMMARY.md	git:405356b288a28b4f606e20a986d93e63f86db558
data/reports/present_anchor_sanity_pilot.csv	dev/present_anchor_sanity_pilot.py	dev/present_anchor_sanity_pilot.py --seeds 1000000,1000001,1000002 --intensity 600 --max-anchors-per-rule 5	git:2aa702a95e2c72d8dc520aee0dc778586eb788c3
evidence/new_geometry_20260719/mink_control_metrics.csv	dev/run_new_geometry_future_observables.py	NOT_DOCUMENTED (metric_row over frozen MINK seed/intensity grid; exact MINK-only shell command absent)	git:050a4e2990037a5b39421a3116292f010fbedfa5
